,R&D Spend,Profit Actual,Profit Predicted,Difference
0,9316.0,56991.47755,57492.3998897903,-500.922339790297
1,110481.0,143415.8641,143277.3607536813,138.5033463186992
2,55700.0,96616.9285,96824.67513034504,-207.7466303450492
3,113736.0,146196.5825,146037.50554300533,159.07695699465694
4,19561.0,65743.69265,66179.86021747836,-436.1675674783619
5,155679.0,182028.1255,181603.9426854378,424.1828145621985
6,147916.0,175396.2616,175021.14575778114,375.11584221886005
7,113132.0,145680.5905,145525.33121036272,155.2592896372662
8,46177.0,88481.51178,88749.44968372976,-267.9379037297622
9,17303.0,63814.70273,64265.14226531442,-450.43953531442094
10,153606.0,180257.1795,179846.09932191437,411.08017808562727
11,59551.0,99906.80457000001,100090.21048631641,-183.40591631640564
12,32892.0,77132.25091,77484.15827784046,-351.90736784045293
13,14469.0,61393.64099,61861.993161491286,-468.35217149128584
14,38772.0,82155.48418,82470.22628436128,-314.7421043612849
15,137388.0,166402.282,166093.70970801052,308.5722919894906
16,86530.0,122954.7315,122967.61333460303,-12.881834603031166
17,149129.0,176432.517,176049.7342768134,382.78272318659583
18,120844.0,152268.8856,152064.88162979955,204.00397020045784
19,34384.0,78406.85364,78749.33063595765,-342.4769959576515
20,89706.0,125667.9609,125660.76843472381,7.192465276195435
21,105465.0,139130.7386,139023.93947464926,106.79912535074982
22,80380.0,117700.8395,117752.59322574196,-51.75372574196081
23,78261.0,115890.5961,115955.74320774578,-65.1471077457827
24,103813.0,137719.4492,137623.09179662674,96.35740337325842
25,99011.0,133617.1421,133551.1362579681,66.00584203191102
26,125783.0,156488.2307,156253.00916112715,235.2215388728364
27,126763.0,157325.4362,157084.0204955473,241.41570445269463
28,132796.0,162479.376,162199.8280267276,279.54797327239066
29,43245.0,85976.72948,86263.19944646463,-286.4699664646323
30,100606.0,134979.7368,134903.6496032743,76.08719672571169
31,141099.0,169572.5573,169240.52915906475,332.02814093523193
32,70598.0,109344.1613,109457.74335502995,-113.58205502993951
33,58986.0,99424.12995,99611.10701290073,-186.9770629007253
34,73490.0,111814.772,111910.07476231875,-95.30276231875177
35,124967.0,155791.1289,155561.06502961,230.063870390004
36,102474.0,136575.5531,136487.65896316903,87.89413683096063
37,142143.0,170464.4375,170125.810621447,338.6268785530119
38,62868.0,102740.489,102902.92946210376,-162.44046210375382
39,38859.0,82229.80752,82543.9997395598,-314.19221955980174
40,133587.0,163155.1205,162870.57288950955,284.54761049043736
41,120687.0,152134.7618,151931.75022214244,203.01157785757096
42,43532.0,86221.9111,86506.56705154481,-284.65595154481707
43,120275.0,151782.7938,151582.38627338625,200.4075266137661
44,8318.0,56138.89476,56646.12508188081,-507.23032188080833
45,135781.0,165029.4358,164731.0207137114,298.4150862886163
46,66102.0,105503.2673,105645.26686569021,-141.99956569020287
47,72107.6,105008.31,110737.83999833671,-5729.529998336715
48,71633.0,110228.3529,110335.39308066753,-107.04018066753633
49,45646.0,88027.88306000001,88299.17721579396,-271.29415579394845
50,81041.0,118265.5261,118313.10189110086,-47.575791100854985
51,138546.0,167391.5514,167075.65983582532,315.89156417467166
52,155883.0,182202.4009,181776.9287183171,425.47218168291147
53,129228.0,159431.2644,159174.26839283877,256.99600716121495
54,90232.0,126117.3181,126106.80104891257,10.517051087430445
55,87151.0,123485.2464,123494.20316998559,-8.956769985583378
56,30744.0,75297.23305,75662.71710811142,-365.48405811142584
57,49875.0,91640.68127,91885.24551504166,-244.56424504166353
58,85328.0,121927.8732,121948.35249381425,-20.479293814249104
59,34715.0,78689.62408,79030.00895401179,-340.38487401179736
60,89669.0,125636.3521,125629.3935169957,6.958583004307002
61,53116.0,94409.4396,94633.51871387399,-224.0791138739878
62,144520.0,172495.0881,172141.43709279055,353.65100720943883
63,60549.0,100759.3874,100936.4852942259,-177.0978942258953
64,140809.0,169324.8128,168994.61764173635,330.1951582636684
65,15505.73,69758.98,62741.109876525356,7017.87012347464
66,70319.0,109105.8141,109221.15951594504,-115.34541594503389
67,55229.0,96214.55727,96425.28090737373,-210.72363737372507
68,22390.0,68160.48294,68578.76946755446,-418.2865275544609
69,54016.0,95178.30183,95396.69238834146,-218.39055834145984
70,140499.0,169059.9825,168731.74670941976,328.23579058024916
71,130675.0,160667.424,160401.2820672326,266.14193276740843
72,62574.0,102489.3274,102653.62606177772,-164.29866177772055
73,43990.0,86613.17655,86894.9376547738,-281.7611047738028
74,73994.56,110352.25,112337.9268836402,-1985.6768836402043
75,29814.0,74502.74207000001,74874.1043111617,-371.36224116169615
76,111403.0,144203.5207,144059.18978463576,144.33091536423308
77,5885.0,54060.403860000006,54583.01224857041,-522.6083885704065
78,67153.0,106401.1276,106536.48412331834,-135.35652331833262
79,81540.43319,72337.96774,118736.60662750453,-46398.63888750454
80,19644.0,65814.59882999999,66250.24178967926,-435.6429596792732
81,9960.0,57541.6412,58038.49305240925,-496.85185240925057
82,104168.0,138022.7227,137924.1214126667,98.60128733332385
83,125112.0,155915.0011,155684.02078827418,230.9803117258125
84,116004.0,148134.1153,147960.70320266337,173.4120973366371
85,114589.0,146925.293,146760.82459225063,164.468407749373
86,127074.0,157591.1208,157347.73939861328,243.38140138672316
87,6055.0,54205.633389999995,54727.16727596983,-521.5338859698313
88,60350.0,100589.3834,100767.73911509366,-178.355715093654
89,83918.0,120723.3224,120752.71373714854,-29.391337148539606
90,80315.0,117645.3106,117697.47512703043,-52.16452703042887
91,106384.0,139915.8323,139803.2245933555,112.60770664451411
92,83936.0,120738.6997,120767.9772106379,-29.27751063789765
93,90555.0,126393.2542,126380.69560097145,12.558599028547178
94,107457.0,140832.487,140713.0972074706,119.38979252940044
95,149598.0,176833.1797,176447.4325582859,385.7471417141205
96,112108.0,144805.7962,144657.0091629686,148.7870370314049
97,122434.0,153627.2089,153413.15512135875,214.05377864124603
98,60864.0,101028.4891,101203.59608028951,-175.1069802895072
99,22177.74,65200.33,68398.77919628506,-3198.449196285059
100,131845.0,161666.9449,161393.4078440403,273.5370559596922
101,29287.0,74052.53052,74427.22372622353,-374.69320622352825
102,47438.0,89558.7732,89818.74079873363,-259.9675987336377
103,75431.0,113472.9515,113555.98598692028,-83.03448692028178
104,66705.0,106018.405,106156.59322758342,-138.1882275834214
105,23044.0,68719.18949,69133.34233766749,-414.15284766748664
106,84817.0,121491.3304,121515.0394408666,-23.709040866597206
107,66766.0,106070.5168,106208.31944329733,-137.80264329732745
108,3111.0,51690.5996,52230.74138971178,-540.141789711779
109,15132.0,61960.03617000001,62424.197768349,-464.1615983489901
110,141217.0,169673.3637,169340.58970749492,332.77399250507005
111,23028.0,68705.52083,69119.77480567695,-414.2539756769547
112,113478.0,145976.1753,145818.729089658,157.44621034199372
113,117241.0,149190.8738,149009.64301968145,181.23078031855403
114,54437.0,95537.9585,95753.68807384235,-215.72957384235633
115,50634.0,92289.08842,92528.85531384258,-239.7668938425777
116,46307.0,88592.56966000001,88859.68588115285,-267.1162211528426
117,137404.0,166415.9507,166107.27724000107,308.67345999891404
118,108606.0,141814.0678,141687.41559854074,126.65220145924832
119,32007.0,76376.20305,76733.70416461412,-357.5011146141187
120,85772.0,122307.1786,122324.85150655154,-17.6729065515392
121,109716.0,142762.3312,142628.66313038394,133.66806961604743
122,31587.0,76017.40067999999,76377.55644986262,-360.1557698626275
123,103756.0,137670.7546,137574.75746391047,95.99713608951424
124,60472.0,100693.6069,100871.19154652147,-177.58464652147086
125,108056.0,141344.2075,141221.0316863662,123.17581363380305
